Location,Latitude,Longitude,Total Incidents
Downtown,39.29241,-76.61408,301
Fells Point,39.28242,-76.59288,302
Stonewood-Pentwood-Winston,39.34805,-76.58834,303
Westfield,39.36263,-76.55161,304
Downtown,39.28938,-76.61971,305
Hamilton Hills,39.3707,-76.56709,306
Union Square,39.28624,-76.64455,307
Baltimore Highlands,39.29591,-76.56777,308
Frankford,39.33177,-76.54873,309
Sandtown-Winchester,39.3034,-76.63842,310
Franklintown Road,39.29662,-76.66508,311
Rosemont,39.30587,-76.67216,312
Penn-Fallsway,39.29883,-76.61042,313
Canton,39.28111,-76.57824,314
Frankford,39.3212,-76.53906,315
Hollins Market,39.28796,-76.63672,316
Mid-Town Belvedere,39.30364,-76.61172,317
Penrose/Fayette Street Outreach,39.2881,-76.64888,318
Irvington,39.2866,-76.68681,319
Penn North,39.31249,-76.64539,320
Penn North,39.31249,-76.64539,321
Brooklyn,39.23616,-76.61077,322
Hamilton Hills,39.35908,-76.5612,323
Milton-Montford,39.30038,-76.58101,324
Milton-Montford,39.30128,-76.58385,325
New Northwood,39.35025,-76.59839,326
Remington,39.32,-76.62224,327
Glenham-Belhar,39.34513,-76.54164,328
Orangeville,39.29765,-76.56099,329
Yale Heights,39.27769,-76.68649,330
Bolton Hill,39.30684,-76.62412,331
Baltimore Highlands,39.29628,-76.56779,332
Penn North,39.31331,-76.64263,333
Druid Heights,39.30588,-76.63353,334
Frankford,39.3331,-76.54578,335
Sabina-Mattfeldt,39.36789,-76.64938,336
Orangeville,39.30479,-76.55919,337
Upton,39.30344,-76.63458,338
Charles Village,39.31819,-76.61706,339
Howard Park,39.33096,-76.69447,340
Hamilton Hills,39.36039,-76.57142,341
New Southwest/Mount Clare,39.28524,-76.64503,342
Loch Raven,39.35952,-76.58856,343
Idlewood,39.36914,-76.5882,344
Parklane,39.34309,-76.66716,345
Waltherson,39.35131,-76.56226,346
Mount Vernon,39.29489,-76.62127,347
Heritage Crossing,39.29858,-76.62437,348
Washington Village/Pigtown,39.27905,-76.63523,349
Old Goucher,39.31435,-76.6181,350
Inner Harbor,39.28668,-76.6098,351
Penrose/Fayette Street Outreach,39.2881,-76.64888,352
Belair-Edison,39.32178,-76.56278,353
Canton,39.28141,-76.57407,354
Cross Country,39.35909,-76.69467,355
Upton,39.30423,-76.62992,356
Cherry Hill,39.2457,-76.62276,357
Barclay,39.31794,-76.6138,358
Glen,39.3586,-76.69386,359
Ellwood Park/Monument,39.29735,-76.57302,360
Upton,39.30294,-76.63386,361
Belair-Edison,39.31484,-76.56457,362
Sandtown-Winchester,39.30548,-76.64362,363
Belair-Edison,39.32074,-76.56522,364
Reservoir Hill,39.31599,-76.63616,365
Belair-Edison,39.3214,-76.56856,366
Langston Hughes,39.34415,-76.6798,367
Waltherson,39.34553,-76.56367,368
Windsor Hills,39.31545,-76.68735,369
Pen Lucy,39.33909,-76.60551,370
Lakeland,39.2543,-76.6516,371
Original Northwood,39.34306,-76.59479,372
Morrell Park,39.26109,-76.65869,373
Sandtown-Winchester,39.30445,-76.63833,374
Downtown West,39.28634,-76.61946,375
Pulaski Industrial Area,39.30392,-76.54074,376
Pulaski Industrial Area,39.30392,-76.54074,377
Curtis Bay,39.22882,-76.59287,378
Harlem Park,39.29536,-76.64012,379
Canton,39.28307,-76.58037,380
Orangeville,39.2991,-76.56033,381
Millhill,39.27937,-76.65494,382
Carroll-South Hilton,39.28556,-76.67107,383
Mid-Town Belvedere,39.3028,-76.61436,384
Oliver,39.31039,-76.60236,385
Downtown,39.29131,-76.6101,386
Grove Park,39.33616,-76.70622,387
North Harford Road,39.36391,-76.54867,388
Patterson Park Neighborhood,39.29434,-76.57097,389
Oldtown,39.29921,-76.60015,390
Remington,39.32407,-76.62346,391
Levindale,39.35085,-76.6611,392
